warmup,legs,core,ergo,descr,legs2,core2
schnell laufen,Ausfallschritt Hinten und Kick L," Stern L"," Triathlon"," 1000meter. 20 Liegestütze und 10 Jumpsquats",Ausfallschritt Hinten und Kick R," Stern R"
Knie hoch," Kick und tief L",sideplank Leg lift L," Slides Staffette"," Gleiche aber alle müssen gleichzeitig wechseln "," Kick und tief R",sideplank Leg lift R
Mumie," Ausfallschritt Seite L"," Rumpfbeuge(kleine Bewegung)"," Simon sais"," Ich rufe Kommandos: so schnell wie möglich. So hohe schlagzahl wie möglich. Nur beine. nur Arme. Ein Arm. Aufstehen. Griff verkehrt halten. Arme kreuzen. Über den Kopf ziehen. Oberkörper auf den Beinen liegen lassen. Stop(stehen bleiben wo sie gerade sind)"," Ausfallschritt Seite R",
Hampelmann," Ausfallschritt L"," schwebesitz"," Postenlauf"," 2er Teams. Bock hinten/vorne. Wiederstand 10. Springseil/hampelmann. 2 Min Wechsel"," Ausfallschritt R",
Auf der Stelle laufen," Hocke"," Plank"," Staffette"," 1000Meter und jeder rudert einen Teil",,
Kuh-Katze," Ausfallschritt hinten übers Kreuz",sumo," Leiter"," 18-20-18-22-18-24-18-26-18-24 usw.",,
Rücken rollen," duck walk",russian twist," Strecke"," 1000/2000/5000",,
Fersen hoch,Situps,Liegestützen," Bootsverständnis"," So weit wie möglich mit $N$ Schlägen",,
Treppen hoch rennen," squat calve raise",bridge hip raise(1 oder 2 Beine)," Pausenübung"," Arme-Beine-Oberkörper",,
Treppe hoch springen,hip raise w/ böckli,superman," All out"," 100m/200m all out sprints (3-5 mal)",,
Knie rollen(feli warmup),Romanian Deadlift(Feli style)," Burpees",,,,
Bein packen und rollen,jumpsquats," ""Tisch"" alles weg vom Boden ausser Hüfte und Schulter",,,,
Brücke und übers Kreuz über Kopf fassen,," Käfer",,,,
Squat hold mit Rotation(andrin),,Käfer aber aufrecht sitzend,,,,
Squat jump,,Plank Beine auf Bock,,,,
,,bridge halten,,,,
,,bridge leg raise L/R alternating,,,,